Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
E 355	355	1	0	War 6	12 Sep 1777		Washington Affair	American privateer threatens and raids Settlement	"St. George’s, Sibun"	Commander Hezekiah Anthony			"Rivington’s New-York Loyal Gazette 144 p3 = 22 Nov 1777
Daily Advertiser 14672 p8"	"ADM 1/240
MEXICO,3018 -- a 30 sep 1777, a 19 enero 1779
NDAR 10 79, 372, 399
NDAR 7 237"	"Burdon I p126
Breuer 116"	"Possibly see, CHARLES-TOWN, (SC), Jul 14 [1777]. Last Wednesday arrived in a safe port, the sloop Chester, James Woodhouse late master, laden with hides, logwood, mahogany, and fustic, taken on the 10th ult. on her passage fm Hon for Jam, by the privateer sloop Washington of this port, commanded by Capt Hezekiah Anthony. /Independent Chronicle [Boston] X 474 p2 = 18 Sep 1777

See Hon letter, 6 Oct 1777, in RNYLG 144 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1051CEA3EA07B078%40EANX-1043EC901D0E19AA%402370422-1043EC9085F11F66%402-1043EC91A67C9BC8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BHonduras%252C%2BDated%2BOct.%2B6

Possibly see, Extract of letter fm Keykesin in Hon, dated May the 20th [1779]. ""The rebel privateer, Washington, of twelve guns and seventy men, in company with the brigantine Monmouth, of fourteen guns and eighty men, commanded by Capt Hingiston, of Salem in NE, have ravaged and destroyed the keys of the islands of Benacea and Rattan, and carried off many negroes."" /Pennsylvania Packet [sn] p2 = 30 Dec 1779"		1 pilot fm St. George’s to Sherboon	evac St. George’s to New for ? m	"2 ships, 1 brig taken"	"supply of rum, sugar demanded for"		
E 357	357	1	1	War 6	2 Sep 1779	30 Nov 1779	Capture of St. George’s Caye	"One Yucatan military campaign against Settlement, after which St. George’s is surrendered to Yucatan but shortly thereafter retaken by Jamaican men"	"Hondo, St. George’s, New"	Gov of Yuc Roberto Rivas Betancourt / Col José Rosado / Valentín Delgago / Col Francisco Piñeiro / Nicolás Pereira 500 soldiers + militia inc Amerindian / 300 soldiers fm Campeche garrison / 13 Frigs some sm Cayucos	2 Frigates of 40 cannons / 1 Brig of 16 cannons / all fm Jam w 700 men [after capture of St. George’s]		"Lloyd’s Evening Post 3699 p5
English Chronicle 560 p4
New-York Packet 429 p2
Morning Chronicle [1770] 6000 p3
Royal Gazette [Kingston] III 115 p5 = 30 Jun 1781
Gazette of Saint Jago de la Vega 1382 182 p2 = 17 Oct 1782
Gazette of Saint Jago de la Vega 1383 183 p3 = 24 Oct 1782"	"CO 137/75 [Account ... by Hill 1 Oct 1779]
CO 123/3
CO 123/2
INDIFERENTE,1582 [R. Betancourt a J. de Galvez, Mérida a 18 ago 1779]
INDIFERENTE,1582 [R. Betancourt a J. de Galvez, Bacalar a 27 nov 1779]
MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]
CO 700/BritishHonduras11
CUBA,1278 ff 42–43 
CUBA,1279 ff 51–55v"	"Burdon 1 p128—40
Contreras 71 = Piña Chan 1977 p97
Calderon 244-248
Peniche 242
Molina v 3 276
Barke 16 183"	"See William James 1779 map, published 1791, BNE: http://bdh-rd.bne.es/viewer.vm?id=0000036088 / Gallica: https://gallica.bnf.fr/ark:/12148/btv1b5970793n /v Barke 16 155

In a raid in 1779 the Spaniards claim to have destroyed 338 houses at New river, 200 at Old [rather St. George’s], and 134 at Sibún (Xibún). /Gerhard 74, citing no source

1779, October 1st. An account of the Spaniards' landing at and taking of St. George's Key by the subscriber (Edward Felix Hill) who was then ont he place and an inhabitant. On Wednesday September 15th, 1779, ... N. B. There were 101 White People on the Key when it was taken and 40 of Mixed colour. [and c 250 mostly house negroes, since Neg slaves that cut logwood were then up the River Belize]. /via Burdon 1 p129 /CO 137/75

See Don Galvez account in Salem Gazette [Mass.] I 52 p2 = 10 Oct 1782 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1080E785DEF28410%40EANX-108563CEA1FD7250%402372205-108563CECCC9F8B8%401-108563CF6ED6BCE8%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BGeneva%252C%2BJuly%2B4 / Possibly see “LONDON, Aug 9 [1782]. Don Galvez has destroyed Rattan, and all the Brit Settlements in Hon and throughout the Sp main, by the maintenance of which Britain had a prospect of drawing the most important commercial advantages fm that quarter. An account of the services of Don Galvez, published by the Court of Madrid, contains 20 pages.” /Salem Gazette [Mass.] II 54 p4 = 24 Oct 1782"	2 killed [13 Sep 79]	F George garrison imprisoned = c 250 house Neg	entirely driven fm all Hon [later or same time?] to xxx 1783	craft seized / later liberated	Fort George taken [so houses destroyed?] / deprived Eng of wood [so laid wood destroyed?] / 672 houses destroyed [Ranchos? source?]		
E 358	358	1	1	War 6	16 Oct 1779	29 Nov 1779	Battle of San Fernando de Omoa	"British Army, with Baymen and unknown number of irregulars, take Omoa"	Omoa	365 men	Col. William Dalrymple / Commodore John Luttrell / 150 Eng soldiers	 2nd Lt. of Bay Fuziliers James Bartlett / 207 Baymen in “Bay Fuziliers” / 35 Shoremen / 59 Mis	"St. James's Chronicle or the British Evening Post 2965 p5
St. James’s Chronicle or the British Evening Post 2968 p11"	"CO 137/75 [5, 21, 29 Oct, 28, 29 Dec 1779]
CO 137/76 [22 Jan 1780]
CO 123/3 [12 Apr 1781]
CO 123/2 [13 Sep 1782]
CO 5/237 ff 187-202"	"Burdon 1 129—31
Peniche 243
Barke 16 185, 197"	"LONDON ... A Letter from Jamaica says that all the Ships that were upon the Omoa Station, when they returned to Jamaica sent more than half their Crews on Shore to Sick Quarters, and that several of them had died of a pestilential Distemper caugh in the Bay of Honduras. /SJC or BEP 2965

1782, September 13th. A List of the several Accounts of Loss sustained by the British settlers at the capture of St. George's Kay by the Spaniards the 15th Day of September 1779, ... Adjusted and Settled, by the Committee Chosen and Appointed for that purpose at Kingston in the Island of Jamaica ... --Jamaica Currancy. ... The total amount claimed is [J] £109,840 4s 6d, plus Interest. /via Burdon 1 p132 /CO 123/2

See Capt Dalrymple letter, 21 Oct 1779, in New-York Gazette, and Weekly Mercury 1480 p1 = 28 Feb 1780 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF7DA1F3AD4B38%402371250-10DF7DA20DB9CF28%400-10DF7DA2D0B730A8%40From%2Bthe%2BLondon%2BGazette%252C%2Bof%2BSaturday%252C%2BDecember%2B18 / See 17 Dec 1779 account in Pennsylvania Packet [sn] p2 = 2 Mar 1780 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10CEB9BDCC081400%40EANX-10E0D692CF5366A0%402371253-10E0D692F2B80A10%401-10E0D693A3454048%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BDartmouth%252C%2BNov.%2B6 / See 28 Oct 1779 account in Maryland Journal VII 346 p1 = 9 May 1780 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A108D68C94D87BEC0%40EANX-1274FD748E0A7B80%402371321-1274FD7499D5A9A8%400-1274FD74B3EEBD20%40Adjutant%2BGeneral%2BDalrymple%2527s%2BAccount%2Bof%2Bthe%2BExpedition%2BAgainst%252C%2Band%2BReduction%2Bof%252C%2BFort%2BSt%252C%2BFernado%2BDe-Omoa%252C

KINGSTON, (Jam) Nov. 20, 1779. Saturday arrived at Port Royal, fm Hon, an Express with Despatches fm Adjutant-Gen Dalrymple, and Hon Commodore Luttrell, to HE the Gov, and Vice-Adm Sir Peter Parker, with Accounts of the Success of HM Arms, in an Expedition to the Gulph of Dulcia, the Reduction of Fort Fernando-de-Omoa, with the taking of the three Register Ships, an immense Treasure, said to be worth one Million Sterling. On Sunday Morning, the Colours taken at the important Sp Fortress, were displayed, under Eng Colours, before the King's House in St. Jago-de-la-Vega. /Maryland Journal VII 342 p1 = 11 Apr 1780"	"6 killed, ? died of disease"						
E 359	359	1	1	War 6	28 Oct 1779	5 Nov 1779		One Yucatan military campaign against Settlement	"St. George’s, Old, New, Sibun"	Gov of Yuc Roberto Rivas Betancourt / Teniente Coronel D. Francisco Piñeiro / 5 Goletas / 10 PA / 8 Dorises / 390 men // later Capt. José Urrutia / 120 men / 9 PA / 4 Dorises				"MEXICO,3155 [Relación para la Gaceta de las operaciones en Walix durante los meses de octubre y noviembre de 1779]"	Calderon 247-248	"[H]a quedado la provincia de Campeche enteramente limpia de enemigos. La pérdida que éstos han sufrido [inc Capture of St. George’s?] en 307 esclavos, 5 goletas y 1 balandra que se les ha tomado, otras 5 goletas y 40 embarcaciones menores echadas a pique, armas, municiones, efectos, considerables porciones de ganado y muebles exquisitos que con las casas ha devorado el fuego, se regula ascenderá a más de 300.000 pesos fuertes. /via Calderon 248 /MEXICO,3155"		2 Eng 1 Neg fm St. George’s / 3 Neg fm New			> 200 houses destroyed “aunque de madera era de no vulgar arquitectura”		
E 360	360	1	1	xxx	17 Mar 1780	8 Nov 1780	San Juan Expedition	"British Army, with Misk allies, and possibly with Baymen, attempt to capture Granada and León"	xxx					"Kemble 2 p244
CO 137/79 ff 164-167
MEXICO,3155--a 15 ago 1779"	"Offen 51
Calderon 243 no 8"	cf wiki							
E 361	361	1	1	War 6	1 Jun 1781	15 Jun 1781	Siege of San Pedro Sula	"British Army, with Baymen and unknown number of irregulars, raid and destroy San Pedro Sula"	"Roatan, San Pedro Sula"		Capt. George Brown of 60th of British Army / Mjr. Lowrie w Baymen / few other irregulars		"New-York Gazette and Weekly Mercury 1574 p3
Gazette of Saint Jago de la Vega [Spanish Town] 1323 p2"			"See Capt Lyndon account in New-York Gazette, and Weekly Mercury 1574 p3 = 17 Dec 1781 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF7EA095F42DA0%402371908-10DF7EA0EC984E38%402-10DF7EA1EC1848C8%40Kingston%252C%2B%2528Jamaica%2529%2BSept.%2B1 "	"1 scout killed, loss of 2 men in sacking / burning St. Pedro"						
E 362	362	1	1	War 6	26 Aug 1782	31 Aug 1782	Siege of Black R	"British Army, with American and Miskito allies, and possibly with Baymen, take Black River"	"Cape Gracias a Dios, Black R [Río Kruta]"	1 Lt. Col. / 26 officers / 715 men	Lt. Col. Despard / Mjr. Lawrie / 70 to 80 men of Odell's American Rangers under Major Campbell / 500 free people and Neg / 600 Mis indians		"Gazette of Saint Jago de la Vega [Spanish Town] 1379 p2
Gazette of Saint Jago de la Vega 1382 p2"			"He [Despard] acknowledges also the great assistance he received from Major Laurie, who, notwithstanding his bad state of health, attended him on the expedition /GSJV 1379

See Col Despart account in New-York Gazette, and Weekly Mercury 1622 p1 = 18 Nov 1782 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10DBEBC4F3862B98%40EANX-10DF7F12FB948C58%402372244-10DF7F13150DC158%400-10DF7F13E39957A0%40Kingston%252C%2BSeptember%2B28"							
E 364	364	1	1		3 Sep 1783	30 Dec 1783	Belize Town as Capital	"Baymen rebuild de facto capital and commercial centre on mouth of Old R rather than on St. George’s Caye, as had previously been custom "	Old					ML C [27 May 1807]	Burdon 2 103	"Though town settled before 1775 /v Bowett 152 [Map] /Jefferys Map of Hon

LONDON, Dec. 26 [1783]. The Mary, Boyd, is arrived at Greenock, fm Hon, fm whence she sailed the 12th of September. Capt Boyd gives an account, that no traders had then resorted thither, and that the coast and quays were in the most unsettled state. Little mahogany was to be found cut, and by the vigilance of the Sp cruisers, he imagines that that will be prevented and new settlers molested for some considerable time. Capt Boyd was permitted, by giving money to two GC, to load his vessel fm what he could pick up of that mahogany which had been formerly cut. /Pennsylvania Packet XIII 1677 p2 = 25 Mar 1784

KINGSTON, (Jam) Jul 23 [1785]. Letters fm Hon mention, that St. George's Quay, which was entirely ruinated by the Sp during the late war, is now resettling very fast; and we are informed that several persons of this town, who formerly resided there, are shortly going down, intending again to become settlers. /Pennsylvania Packet 2048 p2 = 29 Aug 1785

KINGSTON, (Jam) Dec. 17 [1785]. The ship Fair American, and sloop Jamaica, also fm London, have settlers on board for Hon. /State Gazette of South-Carolina XLIV 2370 p2 = 23 Jan 1786

KINGSTON, April 22 [1786]. We learn, by a gentleman lately fm Hon, that the British settlers there daily increase, and trade begins to flourish; the Old River's Mouth having been appointed the general mart, which in many respects is preferable to St. George's Quay, where business heretofore was usually transacted. It is said that many persons fm hence, both old standers and others, intend shortly to go down there to settle, and are now making preparations for the purpose. /Daily Advertiser [NYC] II 403 p2 = 12 Jun 1786"							
E 368	368	1	0	Nat 2	1 Dec 1784	30 Nov 1785		Heavy wet season precludes trade and causes outbreak of distemper among Baymen	New				London Chronicle 4412 p7			"NEW-YORK, Jan 8 [1785]. By letters fm Hon, we learn, that hte settlers at that place have experienced, for these five months past, the severst weather ever known in the memory of man; it having rained incessantly, and overflowed considerable tracts of land, particularly at a place called the New-River, where an epidemic distemper had broke out, which proved fatal to many of the inhabitants. /Independent Journal [NYC] 116 p3 = 8 Jan 1785

KINGSTON, Nov 24 [1784]. [W]e learn by a gentleman fm Hon, ... The inhabitants of Hon, we hear, have been very sickly, particularly up the New River, where several died.—For five months it rained almost incessantly and overflowed several hundred miles. /Pennsylvania Packet 1868 p3 = 31 Jan 1785"	epidemic distemper at New proved fatal to many					severest weather ever remember fm Dec 84 to Nov 85 … esp New	
E 369	369	1	0	xxx	1 Feb 1785			"Baymen panic in fear of Sp attack, and retreat to St. George’s, after which Major Hoare reassures them of safety"	"New, Hondo"		Major Hoare		"General Evening Post 8094 p1
Cornwall Chronicle and Jamaica General Advertiser 608 520 Supplement p1 = 12 Feb 1785"			"SAVANNAH, [SC] Oct 9 [1784]. Accounts fm Hon mention, that the Sp threaten, notwithstanding the boundaries being fixed by the different Comisioners, to route the Eng fm their settlements at that place, at the expiration of the eighteen months after the signing of the Definitive Treaty. /South-Carolina Gazette and General Advertiser II 218 p4 = 19 Oct 1784 / KINGSTON, (Jam) Sept. 24 [1784]. Accounts fm Hon mention, that the Sp threaten, notwithstanding the boundaries being fixed by the different Comisioners, to route the Eng fm their settlements at that place, at the expiration of the eighteen months after the signing of the Definitive Treaty. This they will probably find a very difficult matter to accomplish, as the inhabitants are formidable, and Indians have an invincible hatred to the Sp. /New-York Packet 439 p2 = 22 Nov 1784

AUX CAYES (Hispaniola) Nov. 18 [1784]. We hear there are some considerable misunderstandings between the Sp and the Eng, relative to the boundaries of the Logwood country on Hon. The Eng have been busy since the conclusion of thelate war, in fortifying St. George's Key, one of the most convenient places for shipping in that gulph. The Sp insist that this is a usurpation, an dhave several times desired the Eng to desist or abide by the consequences. /Pennsylvania Journal, or, Weekly Advertiser 1766 p2 = 15 Jan 1785

KINGSTON, Feb 5 [1785]. Capt Swasey, of the brig Porgy, which arrived here on Monday last, from the Bay of Honduras, was dispatched express, on an account being received there, that 200 Spaniards had taken possession of Rattan, and  ordered all the English fishermen to depart; and that 1500 Spaniards were in readiness to sail from Bacalar to Port-Mahon, and from thence to Truxillo, being the place appointed for the general rendezvous. The English settlers, both on the Musquito-Shore and the Bay of Honduras, were in daily expectation of falling into the hands of the Spaniards, unless a speedy and effectual reinforcement be sent to their assistance. /CCJGA 608 520 /Columbian Herald [SC] 29 p3 = 10 Mar 1785 / See Spanish Town 3 Feb 1785 account in Independent Gazetteer 179 p2 = 2 Apr 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1092161B1163DFB0%40EANX-10922022B53D5948%402373110-10922022F0138690%401-10922023E0FE4230%40St.%2BJago%2BDe%2BLa%2BVega%252C%2BFebruary%2B3

KINGSTON, (JAM) Feb 12 [1785]. The schooner Sally, Finlay, which arrived yesterday fm Cape Gracious a Dios, with dispatches for his Honor the Lt Gov, mentions, that the inhabitants at Hon, being in expectation of a hostile visit fm Sp, were collecting themselves, in order to make the best defence in their power, as they apprehended the Sp would appear in force in a very few days. /South-Carolina Gazette and General Advertiser II 327 p3 = 17 Mar 1785

KINGSTON, (Jam) Jan 22 [1785]. HM frigate Flora, and the Swan sloop of war are now under sailing order for the Musquito Shore and Hon. /Pennsylvania Packet 1917 p2 = 29 Mar 1785

See Hon letter 12 Oct 1784 in New-York Morning Post 324 p2 = 2 Apr 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A11B0248DCBD42C7A%40EANX-11B3CE3F46115070%402373110-11B3CE3F4E824778%401-11B3CE3F5EE26328%40London%252C%2BJanuary%2B1%2B-%2B6 / See Old Buffs letter 12 Apr 1785 in Independent Journal [NYC] 152 p2 = 14 May 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1092168814A83928%40EANX-10922A9EE5105B88%402373152-10922A9F69FF82B8%403-10922AA0F8B09A90%40A%2BProspect%2Bof%2BWar%2Bbetween%2BGreat-Britain%2Band%2BSpain

GRENADA, April 30 [1785]. [Extract of] a letter, dated the 25th of February last, fm a gentleman in Jam to his friend in this town, ... ""The Spaniards are assembling, in great force, on the frontiers of the Musquito Indians, in order to compel them to submit to the Sp government, ... I was bound to the Bay of Hon, but as the inhabitants are preparing to leave it, I shall remain here and endeavor to procure a freight home."" /New-Hampshire Mercury and General Advertiser I 27 p4 = 21 Jun 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10C7BD6D6DE701D0%40EANX-10C78BC40100E1B8%402373190-10C78BC46D4C2930%403-10C78BC54FCF3208%40Grenada%252C%2BApril%2B30

KINGSTON, May 18 [1785]. By the Swan, we learn, that HM ship of war Janus, Flora, and Iphigenis, had sailed fm Black River to Truxillo, and the Bull Dog to the bay of Hon; that every thing was quiet at the shore, when she came away; and that the troops were in good health and spirits. /Pennsylvania Packet 1990 p2 = 22 Jun 1785

See Kingston letter Jan 1785 in Columbian Herald [SC] 75 p3 = 25 Jul 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10CE5F72741F6A10%40EANX-10EC81965DB52DC8%402373224-10EC8196D80AD8A0%402-10EC81982735CFB0%40Kingston%252C%2BJune%2B25

See Capt Swasey account of panic in Pennsylvania Evening Herald II 3 p10 = 3 Aug 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A109C9DEEECB9E7C8%40EANX-10A2452DB47C9D70%402373233-10A2452DE65CB590%401-10A2452EBB4F8090%40Kingston%252C%2BJune%2B29

KINGSTON, June 4 [1785]. A few days before HM sloop Swan left the Musquito Shore, all the rest of the king's squadron sailed fm Black River; the same morning the Janus, Flora, and Iphigene, for Truxillo—the Ariel for the island of Rattan—and the Bull Dog for Hon. But as the differences which occasioned the visit of HM ships to that part of the world, are now in a fair train of final accommodation without having recourse to hostility, we may reasonably expect them shortly in the harbour of Port-Royal. /Massachusetts Spy XV 749 p3 = 11 Aug 1785

See Black River letter 18 Jun 1785 in Columbian Herald [SC] 84 p2 = 15 Aug 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10CE5F72741F6A10%40EANX-10EC81AB9D5E5B38%402373245-10EC81ABD92C0010%401-10EC81ACE5416250%40Extract%2Bof%2Ba%2BLetter%2Bfrom%2BBlack-River%252C%2B%2528on%2Bthe%2BMusquito-Shore%2529%252C%2BDated%2B18th%2BJune%252C%2B1785"			"settlers in New, Hondo lost part of their Neg / evac to St. George’s, Belize"		left their stock in jeopardy / their habitations = inexpressible losses	were in want of bread Prov	
