Metadata: Table 1
Sheet	Column	Source	Notes
Storms	Name	US NOAA National Hurricane Centre. US NOAA National Centres for Environmental Information.	U = “unnamed” or “not named”
	Start		
	150 mi		
	50 mi		
	0 mi		
	Max wind		
	Min press		-1 = missing data
	Max cat w/in		
Storms	Parliament	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	Public Meeting counted as first Parliament. Legislative Council counted as one Parliament.
Storms	EM-DAT	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters 	1 = yes
	EM-DAT Loss		Figures in current currency
	EM-DAT Deaths		
Storms	Loss	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters. Belize NEMO. World Bank “Advancing Disaster Risk Finance in Belize” 2018 by Ishizawa & Gunasekera et al. US NOAA National Hurricane Centre.	Figures in current currency
	Deaths		
Trade + GDP	Imports	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. British Honduras / Belize Government Gazette.	Figures in current currency
	Import units		
	Exports		Figures in current currency
	Export units		
	GDP	World Bank.	Figures in current currency
CPI	US	US Bureau of Labour Statistics.	1967 = 100
	UK	UK Office for National Statistics.	1974 = 100. CPI for 2020 excludes December.
	Belize	Belize Statistical Institute of Belize.	2011 = 100. CPI for 2020 excludes November and December.
FX	S$ to Lsd	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	S$ = Spanish dollar
	G$ to Lsd		G$ = US gold dollar
	USD to GBP	"EU European Central Bank. US Federal Reserve. UK Bank of England. via FXTOP sarl, France."	
	Lsd to BHD	"GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade; Sir J.A. Burdon, Archives v 3, p. 318"	BHD = British Honduras dollar
	USD to BHD		BHD = British Honduras dollar
Population	Censuses	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. 	
	Estimates	"Author’s estimates from census data prior to 1960. World Bank beginning in 1960. Prior to 1841 = “The Growth and Development of Belize City” J.C. Everitt 2009; “British Honduras: The invention of a colonial territory” Odile Hoffmann 2014; The Diplomatic history of British Honduras, 1638-1901 by Robert Arthur Humphreys ; Belize SIB; Savanna-la-Mar Gazette (Jamaica) 15 Jul 1788 p. 3"	

Disasterssdsdf: Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1757		6.3	
1758		6.3	
1759		5.8	
1760		5.6	
1761		5.3	
1762		5.5	
1763		5.7	
1764		6.2	
1765		6.4	
1766		6.5	
1767		6.8	
1768		6.7	
1769		6.2	
1770		6.2	
1771		6.7	
1772		7.4	
1773		7.4	
1774		7.5	
1775		7.0	
1776		6.9	
1777		6.9	
1778		7.1	
1779		6.5	
1780		6.3	
1781		6.6	
1782		6.7	
1783		7.5	
1784		7.6	
1785		7.2	
1786		7.2	
1787		7.2	
1788		7.5	
1789		7.4	
1790		7.5	
1791		7.5	
1792		7.6	
1793		7.8	
1794		8.5	
1795		9.4	
1796		10.0	
1797		9.0	
1798		8.8	
1799		9.9	
1800		13.5	
1801		15.1	
1802		11.6	
1803		11.0	
1804		11.3	
1805		13.1	
1806		12.6	
1807		12.3	
1808		12.8	
1809		14.0	
1810		14.4	
1811		14.0	
1812		15.9	
1813		16.3	
1814		14.2	
1815		12.7	
1816		11.6	
1817		13.2	
1818		13.2	
1819		12.9	
1820		11.7	
1821		10.3	
1822		8.9	
1823		9.5	
1824		10.3	
1825		12.1	
1826		11.4	
1827		10.7	
1828		10.4	
1829		10.3	
1830		9.9	
1831		10.9	
1832		10.1	
1833		9.5	
1834		8.7	
1835		8.9	
1836		9.9	
1837		10.1	
1838		10.2	
1839		10.9	
1840		11.1	
1841		10.9	
1842		10.0	
1843		8.9	
1844		8.9	
1845		9.3	
1846		9.7	
1847		10.9	
1848		9.5	
1849		8.9	
1850		8.4	
1851		8.1	
1852		8.1	
1853		8.9	
1854		10.2	
1855		10.5	
1856		10.5	
1857		10.0	
1858		9.1	
1859		9.0	
1860		9.3	
1861		9.5	
1862		9.3	
1863		9.0	
1864		8.9	
1865		9.0	
1866		9.5	
1867		10.1	
1868		10.0	
1869		9.5	
1870		9.5	
1871		9.6	
1872		10.0	
1873		10.4	
1874		10.0	
1875		9.8	
1876		9.8	
1877		9.7	
1878		9.5	
1879		9.1	
1880		9.4	
1881		9.3	
1882		9.4	
1883		9.3	
1884		9.1	
1885		8.8	
1886		8.7	
1887		8.6	
1888		8.7	
1889		8.8	
1890		8.8	
1891		8.9	
1892		8.9	
1893		8.8	
1894		8.7	
1895	8.33333333333333	8.6	
1896	8.33333333333333	8.5	
1897	8.33333333333333	8.7	
1898	8.33333333333333	8.7	
1899	8.33333333333333	8.8	
1900	8.33333333333333	9.2	
1901	8.33333333333333	9.2	
1902	8.66666666666667	9.2	
1903	9	9.3	
1904	9	9.3	
1905	9	9.3	
1906	9	9.3	
1907	9.33333333333333	9.4	
1908	9	9.4	
1909	9	9.5	
1910	9.33333333333333	9.6	
1911	9.33333333333333	9.6	
1912	9.66666666666667	9.9	
1913	9.9	9.8	
1914	10.0	9.8	
1915	10.1	11.0	
1916	10.9	13.0	
1917	12.8	16.3	
1918	15.1	19.9	
1919	17.3	21.9	
1920	20.0	25.3	
1921	17.9	23.1	
1922	16.8	19.9	
1923	17.1	18.7	
1924	17.1	18.6	
1925	17.5	18.6	
1926	17.7	18.5	
1927	17.4	18.0	
1928	17.1	18.0	
1929	17.1	17.8	
1930	16.7	17.3	
1931	15.2	16.6	
1932	13.7	16.2	
1933	13.0	15.8	
1934	13.4	15.8	
1935	13.7	15.9	
1936	13.9	16.0	
1937	14.4	16.6	
1938	14.1	16.8	
1939	13.9	17.3	
1940	14.0	20.2	
1941	14.7	22.4	
1942	16.3	24.0	
1943	17.3	24.8	
1944	17.6	25.5	
1945	18.0	26.2	
1946	19.5	27.0	
1947	22.3	28.9	
1948	24.1	31.1	
1949	23.8	32.0	
1950	24.1	33.0	
1951	26.0	36.0	
1952	26.5	39.3	
1953	26.7	40.5	
1954	26.9	41.3	
1955	26.8	43.1	
1956	27.2	45.3	
1957	28.1	46.9	
1958	28.9	48.4	
1959	29.1	48.6	
1960	29.6	49.1	
1961	29.9	50.8	
1962	30.3	53.0	
1963	30.6	54.0	
1964	31.0	55.8	
1965	31.5	58.4	
1966	32.5	60.7	
1967	33.4	62.3	
1968	34.8	65.2	
1969	36.7	68.7	
1970	38.8	73.1	
1971	40.5	80.0	
1972	41.8	85.7	
1973	44.4	93.5	
1974	49.3	108.5	
1975	53.8	134.8	
1976	56.9	157.1	
1977	60.6	182.0	
1978	65.2	197.1	
1979	72.6	223.5	
1980	82.4	263.7	
1981	90.9	295.0	
1982	96.5	320.4	
1983	99.6	335.1	
1984	103.9	351.8	
1985	107.6	373.2	
1986	109.6	385.9	
1987	113.6	402.0	
1988	118.3	421.7	
1989	124.0	454.5	
1990	130.7	497.5	
1991	136.2	526.7	66.4
1992	140.3	546.4	68.0 
1993	144.5	555.1	69.0 
1994	148.2	568.5	70.8 
1995	152.4	588.2	72.8 
1996	156.9	602.4	77.5 
1997	160.5	621.3	78.3 
1998	163.0	642.6	77.7 
1999	166.6	652.5	76.7 
2000	172.2	671.8	77.2 
2001	177.1	683.7	78.1 
2002	179.9	695.1	79.8 
2003	184.0	715.2	81.9 
2004	188.9	736.5	84.4 
2005	195.3	757.3	87.5 
2006	201.6	781.5	91.2 
2007	207.342	815.0	93.3 
2008	215.303	847.5	99.3 
2009	214.537	843.0	98.2 
2010	218.056	881.9	99.1 
2011	224.939	927.8	100.7 
2012	229.594	957.6	102.0 
2013	232.957	986.7	102.5 
2014	236.736	"1,010.0"	103.7 
2015	237.017	"1,020.0"	102.8
2016	240.007	1030	104
2017	245.120	1057	105
2018	251.107	1080	105
2019	255.657	1100	105
2020	258.660	1109	105


FX: Table 1
	S$ to Lsd	G$ to Lsd	USD to GBP	Lsd to BHD	USD to BHD
1832					
1833					
1834					
1835					
1836					
1837					
1838					
1839					
1840					
1841					
1842					
1843					
1844					
1845					
1846					
1847					
1848					
1849					
1850					
1851					
1852					
1853					
1854				5.0000	
1855				5.0000	
1856				5.0000	
1857				5.0000	
1858				5.0000	
1859				5.0000	
1860				5.0000	
1861				5.0000	
1862				5.0000	
1863				5.0000	
1864				5.0000	
1865				5.0000	
1866				5.0000	
1867				5.0000	
1868				5.0000	
1869				5.0000	
1870				5.0000	
1871					
1872					
1873					
1874					
1875					
1876					
1877	0/3/6.5				
1878	0/3/4.5				
1879	0/3/4.5				
1880	0/3/4.5				
1881	0/3/4.5				
1882	0/4/1.33333333				
1883	0/3/3.33333333				
1884	0/3/3.33333334				
1885	0/3/2				1.000
1886	0/2/11				1.000
1887	0/2/11			6.4865	1.000
1888	0/2/9.5			6.4900	1.000
1889	0/2/9.5				1.000
1890	0/3/1			6.4900	1.000
1891	0/2/11.25				1.000
1892	0/2/7.5			7.2700	1.000
1893	0/2/3.8			9.5000	1.000
1894		0/4/1.33333333		4.866?	1.000
1895		0/4/1.33333333			1.000
1896		0/4/1.33333333		4.8485	1.000
1897		0/4/1.33333333		4.8485	1.000
1898		0/4/1.33333333		4.8485	1.000
1899		0/4/1.33333333		4.8485	1.000
1900		0/4/1.33333333		4.8600	1.000
1901		0/4/1.33333333		4.8600	1.000
1902		0/4/1.33333333		4.8600	1.000
1903		0/4/1.33333333		4.8600	1.000
1904		0/4/1.33333333		4.8600	1.000
1905		0/4/1.33333333		4.8600	1.000
1906		0/4/1.33333333		4.8600	1.000
1907		0/4/1.33333333		4.8600	1.000
1908		0/4/1.33333333		4.8600	1.000
1909		0/4/1.33333333		4.8600	1.000
1910		0/4/1.33333333		4.8600	1.000
1911		0/4/1.33333333		4.8600	1.000
1912		0/4/1.33333333		4.8600	1.000
1913		0/4/1.33333333		4.8600	1.000
1914		0/4/1.33333333		4.8600	1.000
1915		0/4/1.33333333		4.8600	1.000
1916		0/4/1.33333333		4.8600	1.000
1917		0/4/1.33333333		4.8600	1.000
1918		0/4/1.33333333		4.8600	1.000
1919		0/4/1.33333333		4.8600	1.000
1920		0/4/1.33333333		4.8600	1.000
1921		0/4/1.33333333		4.8600	1.000
1922		0/4/1.33333333		4.8600	1.000
1923		0/4/1.33333333		4.8600	1.000
1924		0/4/1.33333333		4.8600	1.000
1925		0/4/1.33333333		4.8600	1.000
1926		0/4/1.33333333		4.8600	1.000
1927		0/4/1.33333333		4.8600	1.000
1928		0/4/1.33333333		4.8600	1.000
1929		0/4/1.33333333		4.8600	1.000
1930		0/4/1.33333333		4.8600	1.000
1931		0/4/1.33333333		4.8600	1.000
1932		0/4/1.33333333		4.8600	1.000
1933		0/4/1.33333333		4.8600	1.000
1934				4.8600	1.000
1935				4.8600	1.000
1936				4.8600	1.000
1937				4.8600	1.000
1938				4.8600	1.000
1939					1.000
1940				4.0300	1.000
1941				4.0300	1.000
1942				4.0300	1.000
1943				4.0300	1.000
1944				4.0300	1.000
1945				4.0300	1.000
1946				4.0300	1.000
1947				4.0300	1.000
1948				4.0300	1.000
1949				4.0300	1.000
1950				4.0000	1.429
1951				4.0000	1.429
1952				4.0000	1.429
1953				4.0000	1.429
1954				4.0000	1.429
1955				4.0000	1.429
1956				4.0000	1.429
1957				4.0000	1.429
1958				4.0000	1.429
1959				4.0000	1.429
1960			0.3562	4.0000	1.429
1961			0.3569	4.0000	1.429
1962			0.3562	4.0000	1.429
1963			0.3571	4.0000	1.429
1964			0.3582	4.0000	1.429
1965			0.3577	4.0000	1.429
1966			0.3580	4.0000	1.429
1967			0.3649	4.0000	1.429
1968			0.4178	4.0000	1.667
1969			0.4183	4.0000	1.667
1970			0.4174	4.0000	1.667
1971			0.4092	4.0000	1.667
1972			0.4003	4.0000	1.540
1973			0.4080	4.0000	1.540
1974			0.4275	4.0000	1.540
1975			0.4524	4.0000	1.540
1976			0.5567	4.0000	1.540
1977			0.5730	4.0000	1.540
1978			0.5215		2.000
1979			0.4720		2.000
1980			0.4303		2.000
1981			0.4980		2.000
1982			0.5729		2.000
1983			0.6601		2.000
1984			0.7517		2.000
1985			0.7785		2.000
1986			0.6820		2.000
1987			0.6116		2.000
1988			0.5621		2.000
1989			0.6114		2.000
1990			0.5632		2.000
1991			0.5674		2.000
1992			0.5698		2.000
1993			0.6661		2.000
1994			0.6533		2.000
1995			0.6338		2.000
1996			0.6409		2.000
1997			0.6106		2.000
1998			0.6036		2.000
1999			0.6182		2.000
2000			0.6614		2.000
2001			0.6946		2.000
2002			0.6665		2.000
2003			0.6125		2.000
2004			0.5459		2.000
2005			0.5503		2.000
2006			0.5435		2.000
2007			0.4997		2.000
2008			0.5451		2.000
2009			0.6406		2.000
2010			0.6478		2.000
2011			0.6239		2.000
2012			0.6313		2.000
2013			0.6397		2.000
2014			0.6074		2.000
2015			0.6543		2.000
2016			0.7409		2.000
2017			0.7770		2.000
2018			0.7499		2.000
2019			0.7842		2.000
2020			0.7796		2.000
