Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
E 		1			1 Jun 1636	30 Jun 1636	Prov Co divested of Tortuga	"Prov Co transfers rights to Tortuga to Brooke, Pym, Saye and Woodcock, who thereafter name Capt. William Rudyerd Gov of Tortuga, though English settlers thereafter abandon Tortuga"	Warwick		"William Fiennes, Lord Saye and Sele / Robert Greville, Lord Brooke / John Pym / William Woodcock / Capt. William Rudyerd / Capt. Henry Hunks"									xxx	Newton 215-216	"Intelligence was received at about the same time [20 Jan 1637] that the English inhabitants of Association had abandoned their plantations and had removed to the main island of Hispaniola. The Association design was therefore abandoned /Newton 216

Capt. Rudyerd w ship Mary Hope given privateering commission and despatched to WI Dec 1636 /Newton 235

A few Frenchmen must have remained on the island, however, for Charlevoix informs us that in 1638 the general of the galleons swooped down upon the colony, put to the sword all who failed to escape to the hills and woods, and again destroyed all the habitations. /Haring 62, citing /Charlevoix livre 7 p9-10 /Bibl. Nat. Nouv. Acq., 9334, p48 ff"	
E 		1			30 Aug 1636	30 Sep 1637	WIC Jol Expedition	"Cornelis Corneliszoon Jol cruises off Cuba, where he is later joined by Capt Abraham Michielszoon Roosendael "	"Texel, St. Bartholomew, Ile à Vache, Havana, Old Bahama Channel, Curaçao"		Cornelis Corneliszoon Jol / Siebert Jol / 1 Ship 2 Yachts / Capt Abraham Michielszoon Roosendael / 1 Yacht									"Laet/Naber, v 4, 261–76
Old WIC, 1.05.01.01, 2 [18 Jul, 15 Aug 1636]
Old WIC, 1.05.01.01, 14 [21 Aug 1636]
Old WIC, 1.05.01.01, 50 [4 Dec 1635]
Old WIC, 1.05.01.01, 42 [18 Jul 1636]
Wright/van Dam, v 2, xxx-*33"	"Goslinga 237, 240 [Map]"	"4 Sail = 260-ton Ship Swol, Yacht Kat commanded by CC Jol's brother [Siebert], and Yacht Jong Otter /via Goslinga 237 / later joined by Yacht Brack /via Goslinga 238

En 27 de febrero de este año [1637] se le rezivieron sus declaraçiones a Francisco Rodriguez y a otros que venian embarcados en la fregata nombrada San Gregorio, de que es dueño el Capitan Marcos de Almeyda y maestre Francisco de Garay, que venia cargada de harinas. Y que salieron del puerto de la Veracruz para este de la Havana en quatro deste mes de febrero, y que a 22 descrubrio este puerto, y estando norte sur con el, descubrieron dos velas de enemigos ... y dizen ser cada una de 300 toneladas, y que trae la una 18 piezas de artilleria y la otra 16, y cada 50 hombres. Que estan repartidas desde los cavos de Corrientes al de Matanças seis urcas, y que Pie de Palo con una dellas anda desde la Sonda de la Tortuga a este puerto todos los dias, y como se descubre sobre el. Y que el capital de una dellas es el que tomo el situado de Puerto Rico el año pasado, y que los capitanes de las dos urcas que los rovaron es el uno hermano de Pie de Palo y el otro se llama Abrahan, y que es natural de Unquerque. /Wright/van Dam, v 2, *22

En 10 de jullio de dicho año [1637] se rezivio su declaraçion a Venito Perez, marinero. Y dize que habra 12 dias que salio de la Sonda en un barco luengo de que es arraez Andres de Torres. Que venia con pescado salado para este puerto [Havana], y que cinco o seis leguas fuera de la Sonda encontraron con una urca de enemigos ... La urca dize es de 150 toneladas con diez piesas de fierro y una pequeña de bronçe, 43 hombres olandeses, y el capitan se llama Cornielis. Y que le dijeron que en la costa de Campeche havian cargado de palo, y despues havian cojido un barco de un sarjento, vezino de Campeche, cargado de palo; y que haviendole descargado le havian dejado dado fondo en la dicha costa. Y que los dichos enemigos le dijeron que andavan de los cavos adentro 14 navios de flamencos, y entre ellos algunos navios de françeses. ... /Wright/van Dam, v 2, *28"	
E 		1			1 Jan 1637	30 Dec 1637	Salazar misión	Fray Gabriel de Zalazar attempts to reduce Manche Chol Mayas but fails to find them	"Manche, xxx"	Dominican Fray Gabriel de Salazar										Ximenes lib 4 cap 69–70	Jones 2 p51		
E 		1			1 Jan 1637	31 Dec 1637	Tipuj embassy to Sp	Tipu petitions Sp Gov Marqués de Santo Floro against their resident beneficiado and vicario and Bacalar vecinos	"Negroman, Merida"											"MEXICO,360,R.5,N.24"			
E 		1			1 Jan 1637	30 Dec 1637	Lamanai reduced	"Sp reduce Lamanai, which likely had previously rebelled or been abandoned"	"New R Lagoon, Bacalar"											"CONTADURIA,915A"	Jones 1 p204		
E 				Hos 13	1 Sep 1637	30 Sep 1637		"Eng privateers, Capt. Thomas Newman, on Providence, chased off Utila"	"Utila, Guanaja"	Gov of Sp Hon Pedro Carrillo de Sayas / Alcalde ordinario of Tru Juan Francisco Perez	Capt. Thomas Newman with 1 Ship 2 Craft			12 Eng bucc or priv held		2 Sp craft				"GUATEMALA,16,R.2,N.13 f 12v-13v, 21r-40v"	"Cardona Amaya p112, p31-xxx
Newman 263"	"Were anchored in western coast of Utila; one ship was Sp prize of Juan Rodriguez de Olmeda; had been on voyage from Prov or Lon since Sep 36; inform at least three pirate or priv crews interested in attacking Sp Hon = Pie de Palo, Diego el Mulato, Thomas Newman /via Cardona Amaya p45

Sp prizes = Nuestra Señora del Carmen, San Francisco Solano
Privateers under licence from King Charles I, as revenge for massacre by Sp of Eng at Tortuga
Prisoners inc = Guillermo Drode, Richard Prisinstein, Juan Pincar [possibly John Prinkard]
6 Dec 1638 -- Capt. Newman sells hides and tallow in Boston, still under commission of Prov Co /Winthrop 1 183"	
E 		1			1 Jan 1638	10 Jul 1638	Tipuj revolt and conspiracy	"Tipu refuses Sp authority, and other Maya hamlets follow suit, on threats or coercion by Tipuj, leading to Sp loss of control over Ma in Bacalar province"	"Tipuj, Bacalar, Merida, Chinam, Zacatan, Manan, Holpatin, Xibun, Soite, Yumpeten, Manan, Pacha"	Gov of Yuc Marqués de Santo Floro / Secular priest of Bacalar Gregorio Marín de Aguilar / Alcalde of Bacalar Capt Luis Sánchez de Aguilar / Francisco Sánchez de la Seña / Cristóbal Delgado / Bartolomé Gómez de Santoyo / Juan Martín de los Cedros										"MEXICO,360,R.5,N.24
MEXICO,360,R.5,N.29
BL Egerton MS 1791 ff 53-54
MEXICO,360 [Luís Sánchez de Aguilar et al. to Gov, 20 sep 1638]
xxx [Gov to Crown, 10 jul 1638]
MEXICO,360 [Luís Sánchez de Aguilar to Gov, 29 oct, 5 nov 1638]
xxx [Bishop of Yucatán to Crown, 5 mar 1643]
Cogolludo lib 11 cap 12
Cardenas p97"	"Jones 1 p189, p204
Barke 12 50"	"Shortly before the Spanish withdrawal, in 1639, there were still nineteen village sites up to fifty leagues from Bacalar, although we are told that their inhabitants had recently fled to the Itzá country. /Gerhard 73, citing BL item / Of the 300 or so tributaries in the [Bacalar] province, something less than 200 were allied with those of Tipu. /Jones 1 p206 /xxx / By 1642, after a blackout of reports [fm Bacalar, since 1638] on the situation, the governor [of Yuc] wrote that eight of the rebel towns, consisting of some 300 families, had been congregated at Tipu itself. Only six villages of some 150 families ... remained loyal to the [Sp] crown; but of these some had fled to the forests ""either out of fear that they would be carried off by the rebels or for not being able to tolerate the weight of the work, being so few."" /via Jones 1 p210 /xxx [Bishop of Yucatán to Crown, 5 mar 1643]

All of these events [eg massacres at Tah Itza in 1623, at Sacalum in 1624], ... were the prelude ot the dramatic collapse of Spanish control over most of the Maya towns of the Bacalar province beginning in 1638, the opening year of Katun 1 Ahau. This loss of colonial control was by 1642 replaced by a regenerated Maya leadership based at Tipu. /Jones 1 p190

Complicating our understanding of the period [1638–42] are the poorly understood effects of increasing depredations of foreign pirates along the eastern coasts [of Bacalar province], which ceertainly would have stimulated coastal Mayas to seek refuge in interior locations around Tipu. These depredations, in combination with independence movements at Tipu, had devastating implications for the villa of Bacalar, which was already in a weakened state due to its administration by an absentee leadership based at Valladolid. /Jones 1 p191

These [Sp, mulattos and mestizos of Bacalar], he [Gov of Yuc] said, numbered only about 50 and were a miserable, poor lot, living by going from village to vilage selling things which they bartered for the locally produced cacao. In so doing, he claimed, they extorted the Indians. /Jones 1 p205 /MEXICO,360 [10 jul 1638] / on extortion see eg MEXICO,369 ff 537r–539 /v Barke 12 61

[80 Ma from Manan and Chinam] have declared that by deceits and threats from the Indians of Tipu, by messages they had sent them that they were to give obedience to their king and wished them to abandon their town [Manan], saying that if they did not do so all would die and be finished, because at such a time the Itzas would come to kill them and there would be great mortalities and hurricanes that would flood the land. /via Jones 1 p207 /xxx [20 sep 1638] / Holpatin likewise received these reports from Tipu, per Bacalar intelligence /via Jones 1 p208

Para fines de 1638, únicamente permanecían leales a los españoles los mayas de la naboría de San Juan Extramuros [Bacalar], Pacha, Yumpetén, Coyte [Soite?], y Xibún. /v Barke 12 /MEXICO,360,R.5,N.24"	
E 		1			1 Jan 1638	31 Dec 1638	Settlement	Buccaneers start Settlement												xxx		"Lower Start possibly 1630, after loss of control by Bacalar or religious at Bacalar /via Gerhard 72

Lower Start possibly 1642, after Raid of Bacalar by Diego el Mulato /via Bulmer 152

Maybe buccaneering camps start date = Bay Islands more properly? [since were Eng colony under Hon in 1800s? uner Prov in 1638.]"	
E 				Hos 13	1 Jan 1638	8 Jul 1638		"Yuc receives intelligence of a planned buccaneer assault on Campeche, for which the same were building low draught craft, and so fortifies the city, after or during which buccaneers abandon their plans"	"Merida, Campeche"	Gov of Yuc Marqués de Santo Floro / Capt Francisco Sandoval / 50 men										"MEXICO,360,R.5,N.21"		"Con los galeones del cargo del Marq.s de Cardinosa a hora un año [= Jul 1637] embie a V Mg.d una declaracion que havia echo un Capp.n y otros a quien el enemigo havia Rovado y tenidos pressos, de como por entender su lengua sin que ellos lo supiesen supo como para principios deste año [1638] estavan algunos de sus compañeros con resolucion de venir al Puerto y Villa de Campeche muy temprano para por lo menos saquearla y que por haver poco fondo en aquellas marinas estavan fabricando lanchas chatas, para desembarcar la gente con facilidad, despues, del Gov.dor de Xamaica tuve haviso como le havia el tenido de que al dicho Camp.e Vendrian enemigos, ... /MEXICO,360,R.5,N.21 f 1r"	
E 				Hos 13	1 Jan 1638	31 Dec 1640		Buccaneers or privateers raid at least one Maya hamlet	Bennett’s or Northern R Lagoon					xxx Ma taken			Zacatan town raided			"MEXICO,250,N.1 "	Jones 89 p289 n59	"Zacatan location /via Jones 89 xv—xvii, p289
Upper End inferred as previous to Lower Start of next raids of Maya hamlets. "	
E 				Hos 13	12 Mar 1638	30 Jun 1638		Diego el Mulato assaults Sp craft off Sp Hon coast from Trujillo to Amatique	"Trujillo, Amatique Bay"	Alcalde ordinario of Tru Hernando Sarco / Capt. Miguel de Aratigui / vecinos of Olancho	Diego el Mulato					2 Sp craft		300 pesos extraordinary defence spending		"GUATEMALA,16,R.2,N.13 f 51v"	"Cardona Amaya p112-4, p45-6"		
E 				Hos 13	2 Apr 1638	15 Jun 1638		Buccaneers or privateers water or careen at and raid Cozumel twice	Cozumel		1 Bajel / later 1 Bajel									"MEXICO,360,R.5,N.22"		"= Martes Sancto del [1638] estuvo un bajel de enemigos dado fondo asta el savado de la misma semana en la Isla de Cozumel que hay desta Ciu.d a ella poco menos de Cient leguas, salto gente en tierra, el beneficiado y los Yndios se retiraron al Monte, no quemaron la Yglessia ni cosa ning.a, solo hicieron aguada, y algunas gallinas, y Ceusnes, que no los pudieron retirar, se llevaron que fue poca cantidad, segun el haviso que tuve a los principios de el mes pasado [junio] Vino otro bajel que tambien hiço agua y para leña quito las puertas de la Yglesia y las Ventanas y el pulpito, y asi mismo rrobo los Ornamentos della, segun lo que me havisa el beneficiado, y maltrato a tres o quatro Yndios, es ymposible el que govierna pueda evitar esto, ni poner prevenciones, y mas no haviendo soldados pagados, qe son bien neçesarios, que con ellos a muchas cosas, se pudiere acudir que de ninguna suerte como esta esto oy se puede haçer, ... /MEXICO,360,R.5,N.22"	
E 		1			14 Apr 1638	30 Sep 1638	WIC Jol Expedition and Battle of Los Organos	"WIC send CC Jol against Sp, after which Jol is joined by Du privateers to attempt an assault on New Spain fleet, which does not succeed"	"Texel, Olinda, Dry Tortugas, Cuba, Havana, Los Organos [Cuba]"	Gen. Carlos de Ybarra / Adm. Pedro de Ursúa / 8 Galleons 7 Sail	Cornelis Corneliszoon Jol / Capt Abraham Michielszoon Roosendael /  Jan Mast / > 18 Ships									"Barlaeus 91–5 = Barlaeus/Naber 112–16
Old WIC, 1.05.01.01, 53 [10, 19, 29 Jun 1638]
Old WIC, 1.05.01.01, 23 [16 Feb 1638]
Mus Nav, Col Nav, v 24, 258–59
Duro, v 4, 189–96
Bib N Esp MSS/2369 f 80
Bib N Esp MSS/2639 f 177
Wright/van Dam, v 2, *31–*36
Kernkamp 143, 148–59, 168–69
Kon Bib PK 4620
States-General, 1.01.02, xxx [Resolutions of 17, 18, 25 Nov 1638]
Aitzema, v 2, 591"	Goslinga 242–48	"Jol sails with 10 ships fm Texel [flagship = Salamander], is supplied with further 4 t 5 ships in Olinda / total = 14 t 15 ships w 900 sailors, 600 soldiers ... is joined by Roosendael and other Old WIC privateers near Havanan on 30 Aug 1638 st total > 18 Ships /via Goslinga 242–44

Mast and Roosendael killed in naval battle with New Spain fleet /via Goslinga 247"	
E 		1			20 Apr 1638	20 Apr 1638	Prov Co privateering	Last privateering vessels outfitted by Prov Co	London		Capt. Samuel Axe / Andrew Axe / Capt. Nicholas Parker / Matthew Harbottle									CSPC 1 -- April 1638 : April 20. Brooke House	Newton 266	"they [Prov Co] were constantly being approached by speculators during the later years of their existence as a company for the issue of commissions for ships to undertake privateering voyages in the WI ... The company always refused to invest money in fitting out these privateer ships, but granted the desired commissions /Newton 266

Ships fitted = Swallow, Spy [despatched in Jul 1638]"	
E 				Hos 13	1 May 1638	30 May 1638		"Buccaneers or privateers roam off Trujillo, after which a Sp prisoner of theirs escapes"	"Trujillo, Utila"	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde ordinario of Tru Hernando Sarco / Velador de Punta de Castilla	2 Ships 5 Frigs			1 Sp prisoner / escaped May 38						"GUATEMALA,16,R.2,N.13 f 46r-47v"	"Cardona Amaya p112, p47-8"		
E 		1			6 Jun 1638	6 Jun 1638	Capt. Claiborne’s patent	Capt. William Claiborne receives grant of incorporation from Prov Co to settle Roatan	"London, Roatan"		Capt. William Claiborne / Maurice Thompson									"CO 124/2 -- PIC Ct. of 6 Jun 1638
BL, Sloane MS 793 or 894"	"Kupperman p213 n82, p280-1
Newton 267, 315
Alsedo 123"	"cf wiki

the first settlement of the island by Englishmen did not last long, for they were expelled by the Spaniards in 1642 [and [some to most] either slaughtered or dispersed among the Indians /Newton 315], but the connection of England with the Bay Islands subsisted through the eighteenth century and the claims to their possession were only abandoned some fifty years ago [1860s]. /Newton 267

engaged in “logwood” [unknown dyewood, or logwood dyed on mainland Yuc] cutting /via McJunkin 116 /via W. D. Davidson, Historical Geography, Southern University Press 1974, p15 /AGCA xxx [Declaración... de Truxillo de M. A. Tamayo, 20 jun 1642]"	
E 		1			13 Sep 1638	29 Oct 1638	Bacalar reductions	"Bacalar cabildo and vecinos reduce Maya near Bacalar and along Hon coast, who had previously abandoned their towns, on prompting or threats from Tipuj"	"Bacalar, Zacatan, Chinam, Xibun, Soite, Holpatin, Pacha, Yumpeten, Manan, Tamalcab"	Alcalde of Bacalar Capt Luis Sánchez de Aguilar / Francisco Sánchez de la Seña / Cristóbal Delgado / Bartolomé Gómez de Santoyo / Juan Martín de los Cedros / 10 Bacalar vecinos										"MEXICO,360 [Luís Sánchez de Aguilar et al. to Gov, 20 sep 1638]
MEXICO,360 [Luís Sánchez de Aguilar to Gov a 29 oct, 5 nov 1638]"	"Jones 1 p207
Barke 12 50 "	"Chinam residents reduced to Holpatin, while others are reduced fully or partially to their former residences /via Jones 1 p208 /MEXICO,360"	
E 				Hos 13	10 Feb 1639	10 Feb 1639	Sacking of Guanaja	Diego el Mulato raids and burns native hamlet on Guanaja	Guanaja	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Capt. Francisco Mejía del Tobar / Cacique of Guanaja Alonso Gaitán	Diego el Mulato 2 Ships						Sacked and burnt Guanaja			"GUATEMALA,16,R.2,N.13 f 55r"	"Cardona Amaya p115, p49-50"		
E 			1	Hos 13	1 May 1639	30 Sep 1639	Providence Design	"Governor of Providence Island, with buccaneer or privateer allies, and native allies, seizes but fails to sack Trujillo"	"Prov, Trujillo"	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Francisco Mejía del Tobar / Alférez Mayor of Tru Hernando Sarco / Alférez of Tru Roque de Vargas / 6 cavalry / 13 vecinos of Tru	Gov of Prov Nathaniel Butler / William Jackson / 2 Ships 200 men w Miskito and Tolupan allies			1 buccaneer held	vecinos of Tru evac < 15 Jun 38 t ?	3 Sp craft seized				"GUATEMALA,16,R.2,N.13 f 87v-88r
Sloane MS 758 entries 28 Mar, 31 May, 6, 20, 21, 30 Jun 1639
Harlow 23-25"	"Cardona Amaya p115, p59
Kupperman p278-9 n30-1
Goslinga p554 no 76 = Burns p210
Harlow vi
Offen 11 p28-29
Newton 257"	"Native allies from Roatan or Guanaja, possibly under duress /via Cardona Amaya p69 /GUATEMALA,16,R.2,N.13 f 214-5, though see Offen 11 p28-29 on non-coerced alliance with Pech of Guanaja -- On October 15, 1639, Butler received a letter ""from ye Inhabitant Indians of the Iland of Guanaho [Guanaja]; desiringe to be brought off from thence from the cruelties of the Spaniarde ...”/via Offen 11 p29 /Butler, Diary -- 9 Jun, 15 Oct, 4 Nov 1639

Native allies from Cape Gracias a Dios not under duress /via Kupperman 278-9

Almost certainly did not camp in Hon /via Kupperman p278-9

Seizure on 6 Jun 1639 /via Oxford DNB -- Butler [Boteler], Nathaniel

Escaped from buccaneers = Andrés García, of Seville, impressed by William Jackson on Dec 1638 near Cartagena

Imprisoned buccaneer = Richard Buyssi, Eng buccaneer since 1628

Cristobal Rodriguez, Diego de Rivera, and two other vecinos of Truxillo desert Sp in favour of Gov. Butler 

27 Aug 1639 -- Capt. Jackson sells money, plate, indigo, sugar in Boston, under commission of Prov Co /Winthrop 1 309-310
4 Jan 1641 -- Capt. Jackson attends the [Prov] Co with indigo /CSPC I p316 /via Jackson vi
9 Mar 1641 -- indigo rec'd fm Capt. Jackson /CSPC I p318
29 Mar 1641 -- last year [1640] Capt. Jackon brought home retribution /CSPC I p319"	
